Method,Accuracy,Precision,recall,f1
Clustering n=10,0.433901515151515,0.997944078947368,0.288928571428571,0.448116691285081
Clustering n=1,0.338352272727272,1,0.168214285714285,0.287985325588505
PCA n=0.90,0.717234848484848,0.956569404621352,0.675178571428571,0.791611417405262
PCA n=0.95,0.705492424242424,0.969971570717839,0.649880952380952,0.778300541773595
PCA n=0.99,0.646164772727272,0.999250615565785,0.555595238095238,0.714127233082131
